N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
86,삼성전자우,"58,400","2,300",+4.10%,"1,313,914","77,167","58,100","58,200","480,566",20.14,N/A
87,한전산업,"13,910","1,160",+9.10%,"1,311,097","18,061","13,810","13,820","4,535",24.88,15.53
88,TIGER Fn반도체TOP10,"10,670",610,+6.06%,"1,303,037","13,927","10,600","10,615","8,296",N/A,N/A
89,퍼스텍,"3,075",240,+8.47%,"1,256,065","3,712","3,040","3,050","1,500",30.15,7.77
90,WOORI 반도체밸류체인액티브,"9,365",360,+4.00%,"1,246,710","11,728","9,325","9,335",702,N/A,N/A
91,TIGER 은행고배당플러스TOP10,"13,245",550,+4.33%,"1,203,114","15,954","13,125","13,140","2,629",N/A,N/A
92,기아,"102,100","5,800",+6.02%,"1,201,601","122,556","101,700","101,800","408,255",4.34,20.44
93,SH에너지화학,550,29,+5.57%,"1,199,814",653,542,544,611,-12.79,-2.81
94,신한 인버스 2X 코스닥 150 선물 ETN,"7,220","1,275",-15.01%,"1,198,955","8,726","7,320","7,335",722,N/A,N/A
95,기업은행,"13,200",290,+2.25%,"1,190,161","15,764","13,130","13,140","105,260",3.86,8.79
96,TIGER 차이나전기차SOLACTIVE,"6,765",70,+1.05%,"1,185,110","8,062","6,740","6,745","15,716",N/A,N/A
97,KODEX 2차전지산업,"15,620",740,+4.97%,"1,184,922","18,497","15,480","15,490","10,731",N/A,N/A
98,한투 인버스 2X 코스닥150선물 ETN,"7,200","1,225",-14.54%,"1,174,662","8,653","7,310","7,335","1,440",N/A,N/A
99,디아이,"14,870","1,340",+9.90%,"1,160,774","16,955","14,590","14,600","4,208",450.61,2.09
100,카카오,"38,300","2,000",+5.51%,"1,140,294","43,488","37,850","37,900","169,839",-16.75,-10.26
